config_id,config_name,input_window,output_window,seed,hidden_layers,neurons,activation,dropout_rate,l2,learning_rate,batch_size,batch_norm,MAE_train,MAE_val,epochs,best_epoch,best_history_val_loss,final_history_val_loss,n_params,train_rows,val_rows,test_rows,MAE_test
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,10,1,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.011768148960913527,0.00906452353357704,86,66,0.00921695027500391,0.009251897223293781,20823,13101,1456,1618,0.012326863064058596
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,10,5,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.00542028615337945,0.004176504856318743,97,79,0.00430868286639452,0.004336575046181679,20823,13098,1455,1618,0.005632553052199402
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,10,30,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0020705769120282543,0.0017284006795085793,152,132,0.0017930807080119848,0.0017951990012079477,20823,13078,1453,1615,0.002383710498793845
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,10,90,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0011895030894437683,0.0009622062958847076,145,130,0.001013132045045495,0.0010144130792468786,20823,13029,1448,1609,0.0013167275774543547
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,30,1,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.011745925819327591,0.00907824956336754,79,59,0.00925037357956171,0.009464873000979424,50263,13085,1454,1616,0.012342099293099602
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,30,5,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.005403595108086001,0.004164437246288962,88,68,0.004325552377849817,0.004426304716616869,50263,13081,1454,1616,0.005624715939511274
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,30,30,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.00215445911934975,0.0017168914451650473,99,79,0.0018520390149205923,0.001859451294876635,50263,13062,1451,1613,0.0023754999022355537
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,30,90,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0010916612206752691,0.0009765395209143926,171,151,0.0010273694060742855,0.001028851605951786,50263,13013,1446,1607,0.0013523030913872133
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,90,1,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.011679281536791566,0.009157630741979153,69,49,0.00934351235628128,0.009575569070875645,138583,13037,1448,1610,0.012465241362745478
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,90,5,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.005385607717471369,0.004217736087858155,75,55,0.0044000232592225075,0.004555589519441128,138583,13033,1448,1610,0.005706621534950102
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,90,30,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0021487688425023328,0.0017290427644793566,86,66,0.0018999900203198195,0.0019067713292315602,138583,13013,1446,1607,0.002366844258268441
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,90,90,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0009941799585449066,0.0009802278396752896,202,196,0.0010325852781534195,0.0010473908623680472,138583,12965,1440,1601,0.001382926210231065
